Year,Drug Name,Dosage form and strength,Unit,Ceiling Price,SO Number,SO date,WPI
2025,Betamethasone,Injection 4 mg/mL,1 ML,4.82,1489(E),27-03-2025,1.74028%
2025,Betamethasone valerate,Cream 0.05%,1 GM,0.68,1489(E),27-03-2025,1.74028%
2025,Betamethasone valerate,Lotion 0.05%,1 ML,,,,1.74028%
2025,Betamethasone valerate,Gel 0.05%,1 GM,,,,1.74028%
2025,Betamethasone valerate,Cream 0.1%,1 GM,1.06,1489(E),27-03-2025,1.74028%
2025,Bicalutamide,Tablet 50 mg,1 Tablet,44.05,1489(E),27-03-2025,1.74028%
2025,Bisacodyl,Tablet 5 mg,1 Tablet,1.19,1489(E),27-03-2025,1.74028%
2025,Bisacodyl,Suppository 5 mg,1 Suppository,10.15,1489(E),27-03-2025,1.74028%
2025,Bleomycin,Powder for Injection 15 units,1 Vial,689.20,1489(E),27-03-2025,1.74028%
2025,Bortezomib,Powder for Injection 2 mg,1 Vial,5352.05,1489(E),27-03-2025,1.74028%
2025,Budesonide,Respirator solution for use in nebulizer 0.5 mg/mL,1 ML,12.11,1489(E),27-03-2025,1.74028%
2025,Budesonide,Respirator solution for use in nebulizer 1 mg/mL,1 ML,13.37,1489(E),27-03-2025,1.74028%
2025,Budesonide,Inhalation (MDI) 100 mcg/dose,1 Metered Dose,1.43,1489(E),27-03-2025,1.74028%
2025,Budesonide,Inhalation (MDI) 200 mcg/dose,1 Metered Dose,2.07,1489(E),27-03-2025,1.74028%
2025,Budesonide,Inhalation (DPI) 200 mcg/dose,1 Dose,3.39,1489(E),27-03-2025,1.74028%
2025,Budesonide,Nasal Spray 100 mcg/dose,1 Dose,0.82,1489(E),27-03-2025,1.74028%
2025,Budesonide (A)+ Formoterol (B),Inhalation (MDI) 100 mcg (A) + 6 mcg (B),1 Metered Dose,2.16,1489(E),27-03-2025,1.74028%
2025,Budesonide (A)+ Formoterol (B),Inhalation (DPI) 100 mcg (A) + 6 mcg (B),1 Dose,4.40,1489(E),27-03-2025,1.74028%
2025,Budesonide (A)+ Formoterol (B),Inhalation (DPI) 200 mcg (A) + 6 mcg (B),1 Dose,5.82,1489(E),27-03-2025,1.74028%
2025,Budesonide (A)+ Formoterol (B),Inhalation (DPI) 400 mcg (A) + 6 mcg (B),1 Dose,7.07,1489(E),27-03-2025,1.74028%
2025,Budesonide (A)+ Formoterol (B),Inhalation (MDI) 200 mcg (A) + 6 mcg (B),1 Metered dose,3.01,1489(E),27-03-2025,1.74028%
2025,Budesonide (A)+ Formoterol (B),Inhalation (MDI) 400 mcg (A) + 6 mcg (B),1 Metered dose,3.43,1489(E),27-03-2025,1.74028%
2025,Bupivacaine,Injection 0.5 % with 7.5 % glucose,1 ML,7.52,1489(E),27-03-2025,1.74028%
2025,Bupivacaine,Injection 0.5 %,1 ML,4.50,1489(E),27-03-2025,1.74028%
2025,Bupivacaine,Injection 0.25%,1 ML,2.88,1489(E),27-03-2025,1.74028%
2025,Buprenorphine,Tablet (Sub- lingual) 0.4mg,1 Tablet,9.59,1489(E),27-03-2025,1.74028%
2025,Buprenorphine (A) + Naloxone (B),Tablet (Sub-lingual) 2 mg (A) + 0.5 mg (B),1 Tablet,37.62,1489(E),27-03-2025,1.74028%
2025,Buprenorphine (A) + Naloxone (B),Tablet (Sub-lingual) 0.4 mg (A) + 0.1 mg (B),1 Tablet,12.03,1489(E),27-03-2025,1.74028%
2025,Caffeine,Oral liquid 20 mg/mL,1 ML,249.96,1489(E),27-03-2025,1.74028%
2025,Caffeine,Injection 20 mg/mL,1 ML,254.86,1489(E),27-03-2025,1.74028%
2025,Calamine,Lotion (As per IP),1 ML,0.97,1489(E),27-03-2025,1.74028%
2025,Calcium folinate,Tablet 15 mg,1 Tablet,48.37,1489(E),27-03-2025,1.74028%
2025,Capecitabine,Tablet 500 mg,1 Tablet,114.69,1489(E),27-03-2025,1.74028%
2025,Carbamazepine,Modified Release – Tablet 200 mg,1 Tablet,2.44,1489(E),27-03-2025,1.74028%
2025,Carbamazepine,Modified Release – Tablet 400 mg,1 Tablet,4.74,1489(E),27-03-2025,1.74028%
2025,Carbamazepine,Tablet   400 mg,1 Tablet,3.61,1489(E),27-03-2025,1.74028%
2025,Carbamazepine,Tablet 200 mg,1 Tablet,1.60,1489(E),27-03-2025,1.74028%
2025,Carbamazepine,Oral liquid 100 mg/5 mL (p),1 ML,0.32,1489(E),27-03-2025,1.74028%
2025,Carbamazepine,Tablet 100 mg,1 Tablet,1.09,1489(E),27-03-2025,1.74028%
2025,Carbimazole,Tablet 10 mg,1 Tablet,4.33,1489(E),27-03-2025,1.74028%
2025,Carbimazole,Tablet 5 mg,1 Tablet,2.23,1489(E),27-03-2025,1.74028%
2025,Carbimazole,Tablet 20 mg,1 Tablet,14.11,1489(E),27-03-2025,1.74028%
2025,Carboplatin,Injection 10 mg/mL,1 ML,60.10,1489(E),27-03-2025,1.74028%
2025,Carboxymethyl cellulose,Drops 0.5%,1 ML,12.51,1489(E),27-03-2025,1.74028%
2025,Carboxymethyl cellulose,Drops 1%,1 ML,16.87,1489(E),27-03-2025,1.74028%
2025,Cefadroxil,Tablet 500 mg,1 Tablet,6.83,1489(E),27-03-2025,1.74028%
2025,Cefadroxil,Oral liquid 125 mg / 5 mL(p),1 ML,0.69,1489(E),27-03-2025,1.74028%
2025,Cefixime,Tablet 400 mg,1 Tablet,22.48,1489(E),27-03-2025,1.74028%
2025,Cefixime,Tablet 200 mg,1 Tablet,9.95,1489(E),27-03-2025,1.74028%
2025,Cefixime,Oral liquid 50 mg / 5 mL (p),1 ML,1.66,1489(E),27-03-2025,1.74028%
2025,Cefixime,Oral liquid 100 mg / 5 mL (p),1 ML,2.43,1489(E),27-03-2025,1.74028%
2025,Cefixime,Capsule 200 mg,1 Capsule,14.94,1489(E),27-03-2025,1.74028%
2025,Cefotaxime,Powder for Injection 250 mg,1 Vial,18.03,1489(E),27-03-2025,1.74028%
2025,Cefotaxime,Powder for Injection 500 mg,1 Vial,24.80,1489(E),27-03-2025,1.74028%
2025,Cefotaxime,Powder for Injection 1000 mg,1 Vial,40.66,1489(E),27-03-2025,1.74028%
2025,Ceftazidime,Powder for Injection 1000 mg,1 Vial,230.97,1489(E),27-03-2025,1.74028%
2025,Ceftazidime,Powder for Injection 250 mg,1 Vial,80.45,1489(E),27-03-2025,1.74028%
2025,Ceftriaxone,Powder for Injection 500 mg,1 Vial,51.16,1489(E),27-03-2025,1.74028%
2025,Ceftriaxone,Powder for Injection 250 mg,1 Vial,28.83,1489(E),27-03-2025,1.74028%
2025,Ceftriaxone,Powder for Injection 1000 mg,1 Vial,63.47,1489(E),27-03-2025,1.74028%
2025,Ceftriaxone,Powder for Injection 2000 mg,1 Vial,140.52,1489(E),27-03-2025,1.74028%
2025,Cefuroxime,Tablet 500 mg,1 Tablet,52.33,1489(E),27-03-2025,1.74028%
2025,Cefuroxime,Injection 1500 mg,1 Vial,344.66,1489(E),27-03-2025,1.74028%
2025,Cefuroxime,Oral liquid 125 mg / 5 mL (p),1 ML,5.40,1489(E),27-03-2025,1.74028%
2025,Cetirizine,Tablet 10 mg,1 Tablet,1.91,1489(E),27-03-2025,1.74028%
2025,Cetirizine,Oral liquid 5 mg / 5 mL (p),1 ML,0.67,1489(E),27-03-2025,1.74028%
2025,Chlorambucil,Tablet 2 mg,1 Tablet,31.70,1489(E),27-03-2025,1.74028%
2025,Chlorambucil,Tablet 5 mg,1 Tablet,78.55,1489(E),27-03-2025,1.74028%
2025,Chloroquine,Tablet 150 mg,1 Tablet,1.35,1489(E),27-03-2025,1.74028%
2025,Chloroquine,Oral liquid 50 mg / 5 mL,1 ML,0.35,1489(E),27-03-2025,1.74028%
2025,Cholecalciferol,Tablet 1000 IU,1 Tablet,4.39,1489(E),27-03-2025,1.74028%
2025,Cholecalciferol,Oral liquid 400 IU/mL,1 ML,2.66,1489(E),27-03-2025,1.74028%
2025,Cholecalciferol,Tablet 60000 IU,1 Tablet,22.89,1489(E),27-03-2025,1.74028%
2025,Cholecalciferol,Capsule 60000 IU,1 Capsule,31.32,1489(E),27-03-2025,1.74028%
2025,Cholecalciferol,Capsule 1000 IU,1 Capsule,4.98,1489(E),27-03-2025,1.74028%
2025,Cholecalciferol,"Solid oral dosage form 60000 IU
Sachet/Granuels/Powder",1 GM,34.57,1489(E),27-03-2025,1.74028%
2025,Cholecalciferol,"Solid oral dosage form 1000 IU
Sachet/Granuels/Powder",1 GM,23.54,1489(E),27-03-2025,1.74028%
2025,Ciprofloxacin,Tablet 250 mg,1 Tablet,2.24,1489(E),27-03-2025,1.74028%
2025,Ciprofloxacin,Tablet 500 mg,1 Tablet,4.32,1489(E),27-03-2025,1.74028%
2025,Ciprofloxacin,Drops 0.3 %,1 ML,1.57,1489(E),27-03-2025,1.74028%
2025,Ciprofloxacin,Injection 200 mg / 100 mL,1 ML,0.20,1489(E),27-03-2025,1.74028%
2025,Ciprofloxacin,Oral liquid 250 mg / 5 mL (p),1 ML,0.75,1489(E),27-03-2025,1.74028%
2025,Ciprofloxacin,Ointment 0.3%,1 GM,1.31,1489(E),27-03-2025,1.74028%
2025,Cisplatin,Injection 1 mg / mL,1 ML,7.21,1489(E),27-03-2025,1.74028%
2025,Clarithromycin,Tablet 250 mg,1 Tablet,24.48,1489(E),27-03-2025,1.74028%
2025,Clarithromycin,Tablet 500 mg,1 Tablet,40.53,1489(E),27-03-2025,1.74028%
2025,Clarithromycin,Oral liquid 125 mg / 5 mL (p),1 ML,4.73,1489(E),27-03-2025,1.74028%
2025,Clindamycin,Capsule 150 mg,1 Capsule,16.64,1489(E),27-03-2025,1.74028%
2025,Clindamycin,Capsule 300 mg,1 Capsule,28.86,1489(E),27-03-2025,1.74028%
2025,Clindamycin,Tablet 300 mg,1 Tablet,19.30,1489(E),27-03-2025,1.74028%
2025,Clindamycin,Injection 150 mg / mL,1 ML,61.65,1489(E),27-03-2025,1.74028%
2025,Clobazam,Tablet 5 mg,1 Tablet,5.83,1489(E),27-03-2025,1.74028%
2025,Clobazam,Tablet 10 mg,1 Tablet,10.01,1489(E),27-03-2025,1.74028%
2025,Clofazimine,Capsule 100 mg,1 Capsule,4.05,1489(E),27-03-2025,1.74028%
2025,Clofazimine,Capsule 50 mg,1 Capsule,2.15,1489(E),27-03-2025,1.74028%
2025,Clomiphene citrate,Capsule 50 mg,1 Capsule,27.85,1489(E),27-03-2025,1.74028%
2025,Clomiphene citrate,Capsule 100 mg,1 Capsule,52.03,1489(E),27-03-2025,1.74028%
2025,Clomiphenecitrate,Tablet 100 mg,1 Tablet,14.19,1489(E),27-03-2025,1.74028%
2025,Clomiphenecitrate,Tablet 50 mg,1 Tablet,8.99,1489(E),27-03-2025,1.74028%
2025,Clomipramine,Tablet 10 mg,1 Tablet,2.90,1489(E),27-03-2025,1.74028%
2025,Clomipramine,Tablet 25 mg,1 Tablet,6.33,1489(E),27-03-2025,1.74028%
2025,Clomipramine,Tablet 75 mg,1 Tablet,16.75,1489(E),27-03-2025,1.74028%
2025,Clonazepam,Tablet 0.25 mg,1 Tablet,2.06,1489(E),27-03-2025,1.74028%
2025,Clonazepam,Tablet 0.5 mg,1 Tablet,3.51,1489(E),27-03-2025,1.74028%
2025,Clonazepam,Tablet 1 mg,1 Tablet,4.85,1489(E),27-03-2025,1.74028%
2025,Clopidogrel,Tablet 75 mg,1 Tablet,6.78,1489(E),27-03-2025,1.74028%
2025,Clopidogrel,Tablet 150 mg,1 Tablet,20.84,1489(E),27-03-2025,1.74028%
